City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
211,Araouane,ML,2022-04-27 01:47:49,18.9048,-3.5265,73.54,25,0,10.29
212,Jumla,NP,2022-04-27 01:47:50,29.2747,82.1838,59.45,38,0,2.19
213,Itarema,BR,2022-04-27 01:47:50,-2.9248,-39.9167,76.3,87,99,9.62
214,Uyemskiy,RU,2022-04-27 01:47:51,64.4743,40.8524,24.85,85,100,4.47
215,Marion,US,2022-04-27 01:45:09,39.7684,-86.1555,49.41,57,0,8.05
216,Floriana,MT,2022-04-27 01:47:51,35.8958,14.5083,60.82,88,0,4.61
217,Tuatapere,NZ,2022-04-27 01:44:18,-46.1333,167.6833,55.62,79,72,6.33
218,Tikhvin,RU,2022-04-27 01:47:52,59.6451,33.5294,32.22,93,76,6.69
219,Sungairaya,ID,2022-04-27 01:47:52,0.7,108.9,82.9,73,99,1.9
220,Vigeland,NO,2022-04-27 01:47:53,58.0844,7.305,45.95,71,40,4.5
221,Port Macquarie,AU,2022-04-27 01:43:37,-31.4333,152.9167,73.89,65,54,6.38
222,Necochea,AR,2022-04-27 01:47:53,-38.5473,-58.7368,62.76,99,100,7.47
223,Torgau,DE,2022-04-27 01:47:54,51.5667,13.0,47.28,81,18,1.19
224,Zhangye,CN,2022-04-27 01:47:54,38.9342,100.4517,43.02,71,100,13.53
225,Ixtapa,MX,2022-04-27 01:47:55,20.7,-105.2,71.53,77,1,1.39
226,Saint Anthony,US,2022-04-27 01:47:55,45.0205,-93.218,39.09,52,0,8.05
227,Campos Belos,BR,2022-04-27 01:47:56,-13.0367,-46.7717,69.66,59,0,3.98
228,Cap Malheureux,MU,2022-04-27 01:48:56,-19.9842,57.6142,73.47,78,13,5.01
229,Forrest City,US,2022-04-27 01:48:56,35.0081,-90.7898,50.85,67,0,6.89
230,Ugoofaaru,MV,2022-04-27 01:48:57,5.6667,73.0,84.7,69,92,1.41
231,Berbera,SO,2022-04-27 01:48:57,10.4396,45.0143,83.62,80,58,6.24
232,Tahe,CN,2022-04-27 01:48:58,52.3333,124.7333,41.92,26,3,11.23
233,Morondava,MG,2022-04-27 01:48:58,-20.2833,44.2833,76.44,85,86,8.16
234,Darhan,MN,2022-04-27 01:48:59,49.4867,105.9228,42.39,21,14,1.7
235,Nanganga,TZ,2022-04-27 01:48:59,-10.3833,39.15,70.34,98,23,2.37
236,Salta,AR,2022-04-27 01:46:56,-24.7859,-65.4117,65.57,85,40,6.91
237,Junagarh,IN,2022-04-27 01:49:00,19.8667,82.9333,93.79,23,16,4.23
238,Mount Gambier,AU,2022-04-27 01:49:00,-37.8333,140.7667,69.71,56,40,17.27
239,Pokhara,NP,2022-04-27 01:49:01,28.2333,83.9833,83.61,21,0,2.37
240,Mizdah,LY,2022-04-27 01:49:01,31.4451,12.9801,58.75,62,85,15.1
241,West Lorne,CA,2022-04-27 01:49:02,42.6001,-81.5998,39.69,89,91,18.81
242,Coburg,DE,2022-04-27 01:49:02,50.2667,10.9667,45.77,97,98,2.19
243,Dandong,CN,2022-04-27 01:49:02,40.1292,124.3947,58.32,23,7,13.0
244,Lebu,CL,2022-04-27 01:49:03,-37.6167,-73.65,49.59,84,62,11.86
245,Gainesville,US,2022-04-27 01:47:22,29.6516,-82.3248,77.09,64,40,6.91
246,Kuala Kedah,MY,2022-04-27 01:49:04,6.1,100.3,80.58,89,20,3.44
247,Aripuana,BR,2022-04-27 01:49:04,-9.1667,-60.6333,79.29,71,100,0.81
248,Razole,IN,2022-04-27 01:49:05,16.4833,81.8333,86.63,68,0,4.83
249,Northam,GB,2022-04-27 01:49:05,51.0333,-4.2167,44.62,76,40,7.83
250,Bonfim,BR,2022-04-27 01:49:06,3.0833,-59.95,77.59,86,100,6.02
251,Cabra,ES,2022-04-27 01:49:06,37.4725,-4.4421,52.7,82,12,2.86
252,Kloulklubed,PW,2022-04-27 01:49:06,7.0419,134.2556,75.7,78,100,3.44
253,Houma,US,2022-04-27 01:46:13,29.5958,-90.7195,72.0,75,0,5.75
254,Emerald,AU,2022-04-27 01:49:07,-23.5333,148.1667,77.14,69,75,13.8
255,Mount Isa,AU,2022-04-27 01:49:08,-20.7333,139.5,80.37,57,19,3.44
256,Colares,PT,2022-04-27 01:49:08,38.7992,-9.4469,59.32,78,0,14.0
257,Kailua,US,2022-04-27 01:49:09,21.4022,-157.7394,84.18,70,41,7.0
258,Puerto Narino,CO,2022-04-27 01:49:09,-3.7703,-70.3831,74.1,98,100,2.33
259,Hlotse,LS,2022-04-27 01:44:20,-28.8718,28.045,38.89,46,0,1.52
260,Gizo,SB,2022-04-27 01:49:10,-8.103,156.8419,85.14,69,52,6.89
261,Sao Felix Do Xingu,BR,2022-04-27 01:49:10,-6.6447,-51.995,71.38,90,50,1.63
262,Ayan,RU,2022-04-27 01:46:46,56.45,138.1667,32.9,74,100,6.96
263,Pisco,PE,2022-04-27 01:49:11,-13.7,-76.2167,67.01,88,0,14.97
264,Chkalovsk,RU,2022-04-27 01:49:11,56.7647,43.2433,41.16,96,44,8.63
265,Alice Springs,AU,2022-04-27 01:47:30,-23.7,133.8833,81.95,28,74,8.05
266,Parksville,CA,2022-04-27 01:49:12,49.3163,-124.3195,51.94,48,26,11.5
267,Balkanabat,TM,2022-04-27 01:49:12,39.5108,54.3671,70.65,48,100,16.46
268,Potosi,BO,2022-04-27 01:49:13,-19.5836,-65.7531,47.75,21,8,4.34
269,Najran,SA,2022-04-27 01:49:13,17.4924,44.1277,70.45,50,2,1.9
270,Grants Pass,US,2022-04-27 01:46:05,42.439,-123.3284,63.91,36,0,11.5
271,Pangkalanbuun,ID,2022-04-27 01:49:14,-2.6833,111.6167,86.94,62,87,3.13
272,Kitakata,JP,2022-04-27 01:50:14,37.65,139.8667,55.98,94,100,5.93
273,Mkushi,ZM,2022-04-27 01:50:15,-13.6202,29.3939,58.86,96,58,5.82
274,Nchelenge,ZM,2022-04-27 01:50:15,-9.3451,28.734,68.56,88,100,7.34
275,Nha Trang,VN,2022-04-27 01:50:16,12.25,109.1833,87.8,62,74,2.68
276,Sioux Lookout,CA,2022-04-27 01:50:16,50.1001,-91.917,30.27,43,100,5.75
277,Oranjemund,NA,2022-04-27 01:50:17,-28.55,16.4333,59.7,50,0,6.93
278,Udachnyy,RU,2022-04-27 01:50:17,66.4167,112.4,23.02,82,87,3.69
279,Tabuk,PH,2022-04-27 01:50:18,17.4189,121.4443,87.1,61,0,6.8
